  Dados detalhados das AIH - por residência - Brasil
Valor aprovado por Procedimento e Ano atendimento
Período:Jun/2020-Out/2022
"Procedimento";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"0408030054 ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR TRES NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;1223851,17;1549384,39;1089915,58;3863151,14
"0408030062 ARTRODESE CERVICAL ANTERIOR TRES NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;729156,04;1121555,74;918124,73;2768836,51
"0408030070 ARTRODESE CERVICAL ANTERIOR DOIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;1077418,43;1815293,17;1516864,91;4409576,51
"0408030089 ARTRODESE CERVICAL ANTERIOR C1-C2 VIA TRANS-ORAL / EXTRA-ORAL";-;-;-;-;-;-;-;-;-;-;-;-;90145,47;109723,78;78782,22;278651,47
"0408030097 ARTRODESE CERVICAL ANTERIOR CINCO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;99561,76;152270,33;102091,30;353923,39
"0408030100 ARTRODESE CERVICAL ANTERIOR QUATRO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;248428,82;430863,32;350780,28;1030072,42
"0408030119 ARTRODESE CERVICAL ANTERIOR UM NIVEL";-;-;-;-;-;-;-;-;-;-;-;-;1159142,75;1793989,39;1492959,74;4446091,88
"0408030127 ARTRODESE CERVICAL POSTERIOR C1-C2";-;-;-;-;-;-;-;-;-;-;-;-;74669,41;135652,92;105247,69;315570,02
"0408030135 ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL UM NIVEL";-;-;-;-;-;-;-;-;-;-;-;-;700024,10;1165553,52;1297392,21;3162969,83
"0408030143 ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL DOIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;608945,86;1118999,83;1218726,71;2946672,40
"0408030151 ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL QUATRO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;287981,96;520931,55;398404,44;1207317,95
"0408030160 ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL TRES NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;288761,22;483925,65;612443,99;1385130,86
"0408030178 ARTRODESE OCCIPTO-CERVICAL (C2) POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;23364,83;54227,32;32734,69;110326,84
"0408030186 ARTRODESE OCCIPTO-CERVICAL (C3)POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;34729,21;38608,64;29854,57;103192,42
"0408030194 ARTRODESE OCCIPTO-CERVICAL (C4)POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;23140,15;44262,24;43101,33;110503,72
"0408030208 ARTRODESE OCCIPTO-CERVICAL (C5) POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;22778,31;19000,03;22647,84;64426,18
"0408030216 ARTRODESE OCCIPTO-CERVICAL (C6)POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;2673,49;23757,21;1554,00;27984,70
"0408030224 ARTRODESE OCCIPTO-CERVICAL (C7) POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;7902,66;9075,86;7754,98;24733,50
"0408030232 ARTRODESE TORACO-LOMBO-SACRA ANTERIOR UM NIVEL";-;-;-;-;-;-;-;-;-;-;-;-;207786,27;269716,00;262008,89;739511,16
"0408030240 ARTRODESE TORACO-LOMBO-SACRA ANTERIOR DOIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;281475,55;382683,24;388778,08;1052936,87
"0408030259 ARTRODESE TORACO-LOMBO-SACRA ANTERIOR, TRES NIVEIS,";-;-;-;-;-;-;-;-;-;-;-;-;269050,71;425167,08;358086,64;1052304,43
"0408030267 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR UM NIVEL";-;-;-;-;-;-;-;-;-;-;-;1722,37;721692,59;1138454,69;1142451,63;3004321,28
"0408030275 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR TRES NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;2387028,65;3923286,93;3605551,97;9915867,55
"0408030283 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR CINCO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;1659694,34;2211123,57;1871040,26;5741858,17
"0408030291 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, DOIS NIVEIS,";-;-;-;-;-;-;-;-;-;-;-;-;2677110,76;4601628,46;4098920,90;11377660,12
"0408030305 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, QUATRO NIVEIS,";-;-;-;-;-;-;-;-;-;-;-;-;2607069,50;4096174,93;3305501,45;10008745,88
"0408030313 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SEIS NIVEIS,";-;-;-;-;-;-;-;-;-;-;-;-;412992,98;794025,75;518387,41;1725406,14
"0408030321 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SETE NIVEIS,";-;-;-;-;-;-;-;-;-;-;-;-;594885,92;1121818,93;941556,10;2658260,95
"0408030330 COSTO-TRANSVERSECTOMIA";-;-;-;-;-;-;-;-;-;-;-;-;71832,51;102628,22;128119,06;302579,79
"0408030348 COSTOPLASTIA (3 OU MAIS COSTELAS)";-;-;-;-;-;-;-;-;-;-;-;-;2229,65;4276,89;3886,16;10392,70
"0408030356 DESCOMPRESSAO DA JUNCAO CRANIO-CERVICAL VIA TRANSORAL / RETROFARINGEA";-;-;-;-;-;-;-;-;-;-;-;-;32889,75;45425,18;22954,27;101269,20
"0408030364 DESCOMPRESSAO OSSEA NA JUNCAO CRANIO-CERVICAL VIA POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;88374,15;141303,18;103188,68;332866,01
"0408030372 DESCOMPRESSAO OSSEA NA JUNCAO CRANIO-CERVICAL VIA POSTERIOR C/ DUROPLASTIA";-;-;-;-;-;-;-;-;-;-;-;-;327635,57;537070,00;252674,06;1117379,63
"0408030380 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (1 NIVEL C/ MICROSCOPIO)";-;-;-;-;-;-;-;-;-;-;-;-;1951014,39;3501249,69;3819518,92;9271783,00
"0408030399 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (UM NIVEL)";-;-;-;-;-;-;-;-;-;-;-;-;577302,09;1090444,17;1001810,76;2669557,02
"0408030402 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS NIVEIS)";-;-;-;-;-;-;-;-;-;-;-;-;494436,35;706907,24;695002,85;1896346,44
"0408030410 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS OU MAIS NIVEIS C/ MICROSCOPIO)";-;-;-;-;-;-;-;-;-;-;-;-;955512,90;1929371,52;2037710,31;4922594,73
"0408030429 DISCECTOMIA CERVICAL ANTERIOR (ATE 2 NIVEIS C/ MICROSCOPIO)";-;-;-;-;-;-;-;-;-;-;-;-;307993,92;491604,89;393652,37;1193251,18
"0408030437 DISCECTOMIA CERVICAL POR VIA ANTERIOR (1 NIVEL)";-;-;-;-;-;-;-;-;-;-;-;-;307467,55;467482,90;410990,95;1185941,40
"0408030445 DISCECTOMIA CERVICAL POR VIA ANTERIOR (2 OU MAIS NIVEIS)";-;-;-;-;-;-;-;-;-;-;-;-;530202,67;800631,38;625083,40;1955917,45
"0408030453 DISCECTOMIA TORACO-LOMBO-SACRA POR VIA ANTERIOR (C/ 2 OU MAIS NIVEIS)";-;-;-;-;-;-;-;-;-;-;-;-;327589,55;664621,62;517607,28;1509818,45
"0408030461 DISCECTOMIA TORACO-LOMBO-SACRA POR VIA ANTERIOR (1 NIVEL)";-;-;-;-;-;-;-;-;-;-;-;-;198073,89;270990,41;218767,09;687831,39
"0408030470 DRENAGEM CIRURGICA DO ILIOPSOAS";-;-;-;-;-;-;-;-;-;-;-;-;76316,25;120852,61;81567,18;278736,04
"0408030488 INSTALACAO DE TRACAO CRANIANA";-;-;-;-;-;-;-;-;-;-;-;-;2257,50;3489,50;2756,25;8503,25
"0408030500 RESSECCAO DE 2 OU MAIS CORPOS VERTEBRAIS CERVICAIS";-;-;-;-;-;-;-;-;-;-;-;-;162307,69;250886,71;162357,92;575552,32
"0408030518 RESSECCAO DE 2 OU MAIS CORPOS VERTEBRAIS TORACO-LOMBO-SACROS";-;-;-;-;-;-;-;-;-;-;-;-;296109,49;568934,58;372080,05;1237124,12
"0408030526 RESSECAO DE COCCIX";-;-;-;-;-;-;-;-;-;-;-;-;3430,95;3642,93;3029,97;10103,85
"0408030534 RESSECCAO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL / DISTAL A C2 (MAIS DE 2 SEGMENTOS)";-;-;-;-;-;-;-;-;-;-;-;-;1290208,60;2342500,71;1997690,81;5630400,12
"0408030542 RESSECCAO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL DISTAIL A C2 (AT 2 SEGMENTOS)";-;-;-;-;-;-;-;-;-;-;-;-;1302996,76;2140978,40;2086558,96;5530534,12
"0408030550 RESSECCAO DE UM CORPO VERTEBRAL CERVICAL";-;-;-;-;-;-;-;-;-;-;-;-;395577,99;609443,15;404308,99;1409330,13
"0408030569 RESSECCAO DE UM CORPO VERTEBRAL TORACO-LOMBO-SACRO";-;-;-;-;-;-;-;-;-;-;-;-;295966,52;679939,37;549941,90;1525847,79
"0408030577 RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA ANTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;19481,32;46728,16;39447,50;105656,98
"0408030585 RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;36134,01;51491,74;19473,78;107099,53
"0408030593 RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA ANTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;17074,98;19885,27;14904,59;51864,84
"0408030607 RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;237963,76;333943,00;259029,06;830935,82
"0408030615 REVISAO DE ARTRODESE / TRATAMENTO CIRURGICO DE PSEUDARTOSE DA COLUNA TORACO-LOMBO-SACRA ANTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;99083,66;208431,39;173214,83;480729,88
"0408030623 REVISAO DE ARTRODESE / TRATAMENTO CIRURGICO DE PSEUDARTROSE DA COLUNA CERVICAL POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;84022,70;130955,52;123118,59;338096,81
"0408030631 REVISAO DE ARTRODESE / TRATAMENTO CIRURGICO DE PSEUDARTROSE DA COLUNA TORACO-LOMBO-SACRA POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;520304,56;981127,83;912256,19;2413688,58
"0408030640 REVISAO DE ARTRODESE TRATAMENTO CIRURGICO DE PSEUDOARTORSE DA COLUNA CERVICAL ANTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;58211,40;74218,44;64080,76;196510,60
"0408030658 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERO-POSTERIOR NOVE OU MAIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;63832,33;124520,36;65096,10;253448,79
"0408030666 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR OITO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;18544,60;13168,23;7260,60;38973,43
"0408030674 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR QUATRO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;24906,40;42185,48;28730,86;95822,74
"0408030682 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR CINCO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;2593,01;12577,85;25122,81;26456,64;66750,31
"0408030690 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR POSTERIOR ATE OITO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;16194,19;21690,07;40667,95;78552,21
"0408030704 VERTEBROPLASTIA POR DISPOSITIVO GUIADO EM UM NIVEL";-;-;-;-;-;-;-;-;-;-;-;-;45378,92;48853,37;52278,58;146510,87
"0408030712 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR SEIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;47955,70;59858,30;67487,67;175301,67
"0408030720 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR SETE NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;4177,61;27156,07;11319,54;42653,22
"0408030739 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR OITO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;3217,95;99493,10;178072,33;164073,06;444856,44
"0408030747 TRATAMENTO CIRURGICO DE FRATURA NIVEL C1 - C2 POR VIA ANTERIOR (OSTEOSSINTESE)";-;-;-;-;-;-;-;-;-;-;-;-;32018,45;48112,97;42854,45;122985,87
"0408030755 TRATAMENTO CIRURGICO DE TORCICOLO CONGENITO";-;-;-;-;-;-;-;-;-;-;-;-;2202,86;4573,81;6362,78;13139,45
"0408030763 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR NOVE NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;76421,62;146696,92;174671,25;397789,79
"0408030771 TRATAMENTO CIRURGICO DESCOMPRESSIVO AO NIVEL DO DESFILADEIRO TORACICO";-;-;-;-;-;-;-;-;-;-;-;-;10041,96;14944,01;8296,82;33282,79
"0408030780 VERTEBROPLASTIA POR DISPOSITIVO GUIADO DOIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;24076,92;32642,85;26216,59;82936,36
"0408030798 VERTEBROPLASTIA POR DISPOSITIVO GUIADO TRES NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;12551,80;8720,83;13385,53;34658,16
"0408030801 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DOZE NIVEIS OU MAIS";-;-;-;-;-;-;-;-;-;-;-;-;447597,32;911170,38;1087684,21;2446451,91
"0408030810 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DEZ NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;95937,38;151547,87;220587,98;468073,23
"0408030828 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR ONZE NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;68125,14;182531,86;187263,11;437920,11
"0408030836 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR DOIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;270054,23;366965,09;297170,93;934190,25
"0408030844 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR TRES NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;132753,12;160955,04;136598,58;430306,74
"0408030852 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR CINCO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;248115,06;406719,38;286373,07;941207,51
"0408030860 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR SEIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;85994,33;127127,56;134112,57;347234,46
"0408030879 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR TRES NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;421564,82;682870,72;692711,57;1797147,11
"0408030887 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR QUATRO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;255346,83;365705,64;319827,52;940879,99
"0408030895 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DOIS NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;354047,53;822638,97;1001415,50;2178102,00
"0408030909 TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR SETE NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;85606,57;167112,27;108674,20;361393,04
"0408030917 ARTRODESE CERVICAL / CERVICO TORACICA POSTERIOR QUATRO NIVEIS";-;-;-;-;-;-;-;-;-;-;-;-;457608,18;819388,56;572074,38;1849071,12
"0408040017 ARTRODESE COXOFEMORAL";-;-;-;-;-;-;-;-;-;-;-;-;84873,97;108224,41;94580,53;287678,91
"0408040025 ARTRODESE DA SINFISE PUBICA";-;-;-;-;-;-;-;-;-;-;-;-;203661,91;321355,19;295326,92;820344,02
"0408040033 ARTRODESE DE ARTICULACOES SACROILIACAS";-;-;-;-;-;-;-;-;-;-;-;-;126275,43;181494,99;119835,82;427606,24
"0408040041 ARTROPLASTIA DE QUADRIL (NAO CONVENCIONAL)";-;-;-;-;-;-;-;-;-;-;-;-;81584,47;127080,82;130839,23;339504,52
"0408040050 ARTROPLASTIA PARCIAL DE QUADRIL";-;-;-;-;-;-;-;-;-;-;-;6037,10;9475842,56;15294972,37;12801458,26;37578310,29
"0408040068 ARTROPLASTIA TOTAL DE CONVERSAO DO QUADRIL";-;-;-;-;-;-;-;-;-;-;-;-;561600,11;946230,09;832875,89;2340706,09
"0408040076 ARTROPLASTIA DE REVISAO OU RECONSTRUCAO DO QUADRIL";-;-;-;-;-;-;-;-;-;-;-;-;2101614,64;3733574,24;4258969,80;10094158,68
"0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA";-;-;-;-;-;-;-;-;-;-;-;-;3524246,44;5670909,21;6578581,67;15773737,32
"0408040092 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NAO CIMENTADA / HIBRIDA";-;-;-;-;-;-;-;-;-;-;-;-;5666536,05;11713188,38;15276919,10;32656643,53
"0408040106 DESARTICULACAO COXOFEMORAL";-;-;-;-;-;-;-;-;-;-;-;-;250160,47;433673,93;372419,44;1056253,84
"0408040114 DESARTICULACAO INTERILIO-ABDOMINAL";-;-;-;-;-;-;-;-;-;-;-;-;1936,32;9796,64;11704,50;23437,46
"0408040122 EPIFISIODESE DO TROCANTER MAIOR DO FEMUR";-;-;-;-;-;-;-;-;-;-;-;-;100353,90;168810,43;146757,74;415922,07
"0408040130 EPIFISIODESE FEMORAL PROXIMAL IN SITU";-;-;-;-;-;-;-;-;-;-;-;-;326866,83;698112,91;528754,95;1553734,69
"0408040149 OSTECTOMIA DA PELVE";-;-;-;-;-;-;-;-;-;-;-;-;166133,58;311548,18;275590,86;753272,62
"0408040157 OSTEOTOMIA DA PELVE";-;-;-;-;-;-;-;-;-;-;-;-;575091,43;1116708,39;918820,46;2610620,28
"0408040165 RECONSTRUCAO OSTEOPLASTICA DO QUADRIL";-;-;-;-;-;-;-;-;-;-;-;-;440936,53;1004924,98;1110199,97;2556061,48
"0408040173 REDUCAO INCRUENTA C/ MANIPULACAO DE LUXACAO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICACA";-;-;-;-;-;-;-;-;-;-;-;-;33320,55;52344,01;43263,15;128927,71
"0408040181 REDUCAO INCRUENTA DE LUXACAO CONGENITA COXOFEMORAL";-;-;-;-;-;-;-;-;-;-;-;-;13237,78;21673,09;18789,40;53700,27
"0408040190 REDUCAO INCRUENTA DE LUXACAO COXOFEMORAL TRAUMATICA / POS-ARTROPLASTIA";-;-;-;-;-;-;-;-;-;-;-;-;321049,55;492164,37;406276,58;1219490,50
"0408040203 REDUCAO INCRUENTA DISJUNCAO / LUXACAO / FRATURA / FRATURA-LUXACAO AO NIVEL DO ANEL PELVICO";-;-;-;-;-;-;-;-;-;-;-;-;61489,10;94425,88;67737,82;223652,80
"0408040211 RETIRADA DE ENXERTO AUTOGENO DE ILIACO";-;-;-;-;-;-;-;-;-;-;-;-;64911,17;120334,30;106090,47;291335,94
"0408040220 REVISAO CIRURGICA DE LUXACAO COXOFEMORAL CONGENITA";-;-;-;-;-;-;-;-;-;-;-;-;33292,64;68632,26;42246,39;144171,29
"0408040238 TRANSPOSICAO / ALONGAMENTO MIOTENDINOSO DO ILIOPSOAS EM DOENCA NEUROMUSCULAR";-;-;-;-;-;-;-;-;-;-;-;-;52220,28;89264,58;91134,82;232619,68
"0408040246 TRATAMENTO CIRURGICO DA AVULSAO DE TUBEROSIDADES / ESPINHAS E CRISTA ILIACA S/ LESAO DO ANEL PEL";-;-;-;-;-;-;-;-;-;-;-;-;13867,59;16629,36;12597,37;43094,32
"0408040254 TRATAMENTO CIRURGICO DE ASSOCIACAO FRATURA / LUXACAO / FRATURA-LUXACAO / DISJUNCAO DO ANEL P";-;-;-;-;-;-;-;-;-;-;-;-;1417954,13;2123040,49;1675414,35;5216408,97
"0408040262 TRATAMENTO CIRURGICO DE FRATURA / LUXACAO / FRATURA-LUXACAO / DISJUNCAO DO ANEL PELVICO ANTER";-;-;-;-;-;-;-;-;-;-;-;-;1584402,77;2232116,46;1457074,41;5273593,64
"0408040270 TRATAMENTO CIRURGICO DE FRATURA / LUXACAO / FRATURA-LUXACAO DO COCCIX";-;-;-;-;-;-;-;-;-;-;-;-;1879,50;3121,87;1338,41;6339,78
"0408040289 TRATAMENTO CIRURGICO DE FRATURA / LUXACAO COXOFEMORAL C/ FRATURA DA EPIFISE FEMORAL";-;-;-;-;-;-;-;-;-;-;-;-;642520,59;935832,23;755358,85;2333711,67
"0408040297 TRATAMENTO CIRURGICO DE FRATURA DO ACETABULO";-;-;-;-;-;-;-;-;-;-;-;2257,16;3016374,91;4301303,77;3041003,67;10360939,51
"0408040300 TRATAMENTO CIRURGICO DE FRATURA DO SACRO";-;-;-;-;-;-;-;-;-;-;-;-;36166,78;55678,44;42677,35;134522,57
"0408040319 TRATAMENTO CIRURGICO DE FRATURA-LUXACAO DA ARTICULACAO COXOFEMORAL (DUPLO ACESSO)";-;-;-;-;-;-;-;-;-;-;-;-;139278,73;199518,60;134435,57;473232,90
"0408040327 TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL CONGENITA";-;-;-;-;-;-;-;-;-;-;-;-;184489,67;465381,35;311307,61;961178,63
"0408040335 TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA";-;-;-;-;-;-;-;-;-;-;-;-;416017,57;746758,72;512320,36;1675096,65
"0408040343 TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL";-;-;-;-;-;-;-;-;-;-;-;-;301775,16;579087,34;496449,51;1377312,01
"0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES";-;-;-;-;-;-;-;-;-;-;-;1855,11;21785794,84;33608355,30;25508853,68;80904858,93
"0408050020 AMPUTACAO / DESARTICULACAO DE PE E TARSO";-;-;-;-;-;-;-;-;-;-;-;274,01;1734678,63;2732642,86;2021167,06;6488762,56
"0408050039 ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR";-;-;-;-;-;-;-;-;-;-;-;-;566646,37;968682,65;979429,94;2514758,96
"0408050047 ARTROPLASTIA DE JOELHO (NAO CONVENCIONAL)";-;-;-;-;-;-;-;-;-;-;-;-;38080,82;118552,80;76152,01;232785,63
"0408050055 ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUCAO";-;-;-;-;-;-;-;-;-;-;-;-;560919,83;1061317,58;1293926,52;2916163,93
"0408050063 ARTROPLASTIA TOTAL PRIMARIA DO JOELHO";-;-;-;-;-;-;-;-;-;-;-;-;2271707,21;6164674,18;9335324,65;17771706,04
"0408050071 ARTROPLASTIA UNICOMPARTIMENTAL PRIMARIA DO JOELHO";-;-;-;-;-;-;-;-;-;-;-;-;32087,28;48798,97;25980,30;106866,55
"0408050080 FASCIOTOMIA DE MEMBROS INFERIORES";-;-;-;-;-;-;-;-;-;-;-;340,62;1273392,51;2198546,52;1725034,13;5197313,78
"0408050098 INSTALACAO DE TRACAO ESQUELETICA DO MEMBRO INFERIOR";-;-;-;-;-;-;-;-;-;-;-;15,00;52224,75;76233,75;45691,50;174165,00
"0408050101 PATELECTOMIA TOTAL OU PARCIAL";-;-;-;-;-;-;-;-;-;-;-;-;121337,55;189656,01;129232,13;440225,69
"0408050110 QUADRICEPSPLASTIA";-;-;-;-;-;-;-;-;-;-;-;-;1312945,67;2318927,14;1951156,46;5583029,27
"0408050128 REALINHAMENTO DO MECANISMO EXTENSOR DO JOELHO";-;-;-;-;-;-;-;-;-;-;-;-;223611,47;414806,30;432127,33;1070545,10
"0408050136 RECONSTRUCAODE TENDAO PATELAR / TENDAO QUADRICIPITAL";-;-;-;-;-;-;-;-;-;-;-;-;3115730,40;5762253,50;4934594,77;13812578,67
"0408050144 RECONSTRUCAO LIGAMENTAR DO TORNOZELO";-;-;-;-;-;-;-;-;-;-;-;-;1613640,88;2727715,01;1962674,31;6304030,20
"0408050152 RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO";-;-;-;-;-;-;-;-;-;-;-;-;746641,57;1253285,66;1093777,76;3093704,99
"0408050160 RECONSTRUCAOLIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR)";-;-;-;-;-;-;-;-;-;-;-;-;9207050,28;17378608,60;26933642,88;53519301,76
"0408050179 RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR COM OU SEM ANTERIOR)";-;-;-;-;-;-;-;-;-;-;-;-;834107,21;1295238,51;1821751,45;3951097,17
"0408050195 REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE";-;-;-;-;-;-;-;-;-;-;-;-;76717,11;134060,77;143691,73;354469,61
"0408050209 REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DOS METATARSIANOS";-;-;-;-;-;-;-;-;-;-;-;-;54698,70;99342,20;82048,35;236089,25
"0408050217 REDUCAO INCRUENTA DE FRATURA / LUXACAO / FRATURA-LUXACAO DO TORNOZELO";-;-;-;-;-;-;-;-;-;-;-;-;263516,92;392729,94;316405,96;972652,82
"0408050225 REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA";-;-;-;-;-;-;-;-;-;-;-;-;219655,73;338932,57;250532,11;809120,41
"0408050233 REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA PROXIMAL DO FEMUR";-;-;-;-;-;-;-;-;-;-;-;-;316651,81;522068,04;395168,83;1233888,68
"0408050241 REDUCAO INCRUENTA DE FRATURA DOS OSSOS DO TARSO";-;-;-;-;-;-;-;-;-;-;-;-;30887,06;45570,77;32618,07;109075,90
"0408050250 REDUCAO INCRUENTA DE FRATURA OU LESAO FISARIA DO JOELHO";-;-;-;-;-;-;-;-;-;-;-;-;37148,63;61285,99;45033,28;143467,90
"0408050268 REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO";-;-;-;-;-;-;-;-;-;-;-;-;39675,38;59134,18;49313,63;148123,19
